gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
MOGS	3183.5	0.016577	26.0	0.018378	3157.5	0.001800999999999997	0.9883928571428572	0.9555803571428572	0.9444887994260205	135	-3157.5	0.001800999999999997
HSPA6	1122.5	0.021973	72.5	0.025209	1050.0	0.0032359999999999993	0.9583705357142858	0.9850446428571429	0.9440377620774874	136	-1050.0	0.0032359999999999993
TRRAP	5911.0	0.030653	7078.5	0.027729	1167.5	0.0029239999999999995	0.9612723214285714	0.9815848214285714	0.9435703199736926	137	1167.5	-0.0029239999999999995
RNF2	271.5	0.044339	1104.5	0.039953	833.0	0.004386000000000001	0.9506696428571428	0.9925223214285714	0.9435608408402424	138	833.0	-0.004386000000000001
DDOST	1267.833333	0.024004	390.0	0.027778	877.833333	0.0037739999999999996	0.9532366071428572	0.9895089285714286	0.9432361338089924	139	-877.833333	0.0037739999999999996
TNIP2	4413.5	0.031203	11357.333333	0.029593	6943.8333330000005	0.0016100000000000003	0.9972098214285714	0.9454241071428572	0.9427862050581952	140	6943.8333330000005	-0.0016100000000000003
DHX9	319.0	0.048463	1039.5	0.042704	720.5	0.005759	0.9451450892857143	0.996875	0.9421915108816964	141	720.5	-0.005759
LARP7	3307.0	0.060601	6540.5	0.062349	3233.5	0.0017479999999999996	0.9886160714285714	0.9525669642857143	0.9417230100047832	142	3233.5	0.0017479999999999996
PABPC1	929.0	0.04516	97.5	0.048977	831.5	0.003817000000000001	0.9505580357142858	0.9897321428571428	0.9407978415975765	143	-831.5	0.003817000000000001
TOP2A	4716.0	0.03513	3525.0	0.032548	1191.0	0.002582000000000001	0.9622767857142858	0.97578125	0.938971644810268	144	-1191.0	-0.002582000000000001
CDK1	1588.0	0.032177	4563.0	0.030464	2975.0	0.0017129999999999958	0.9871651785714286	0.9504464285714286	0.9382476183832908	145	2975.0	-0.0017129999999999958
CPSF6	162.0	0.034525	845.5	0.029669	683.5	0.004855999999999999	0.9428571428571428	0.99453125	0.9377008928571429	146	683.5	-0.004855999999999999
FANCI	6809.0	0.013206	62.5	0.014713	6746.5	0.0015069999999999997	0.9970982142857143	0.93984375	0.9371165248325893	147	-6746.5	0.0015069999999999997
SRC	1200.0	0.019622	328.0	0.022712	872.0	0.003089999999999999	0.9527901785714286	0.9835379464285714	0.9371052956094547	148	-872.0	0.003089999999999999
XRN1	97.0	0.015495	1408.0	0.013244	1311.0	0.0022509999999999995	0.9657924107142857	0.9693638392857142	0.9362042392030053	149	1311.0	-0.0022509999999999995
NUFIP2	637.166667	0.02293	1513.5	0.019974	876.333333	0.0029560000000000003	0.9530133928571428	0.9821428571428571	0.9359952965561223	150	876.333333	-0.0029560000000000003
ACTR2	512.5	0.022011	1519.5	0.019283	1007.0	0.002727999999999998	0.9568638392857143	0.9779017857142858	0.9357188571229273	151	1007.0	-0.002727999999999998
BET1	1068.5	0.011958	14.5	0.014559	1054.0	0.002601000000000001	0.9584821428571428	0.9761160714285714	0.935589823820153	152	-1054.0	0.002601000000000001
ATF2	206.0	0.012119	2989.5	0.010456	2783.5	0.0016629999999999995	0.9854910714285714	0.9485491071428571	0.934786675900829	153	2783.5	-0.0016629999999999995
PRKCA	2019.0	0.012113	651.0	0.014214	1368.0	0.0021009999999999987	0.9678571428571429	0.9651227678571429	0.9341009646045919	154	-1368.0	0.0021009999999999987
SF3B1	211.5	0.038659	772.333333	0.032115	560.833333	0.006544000000000001	0.9353794642857143	0.9983258928571429	0.9338135388432717	155	560.833333	-0.006544000000000001
HNRNPR	74.0	0.039243	691.5	0.034403	617.5	0.004839999999999997	0.938671875	0.9944196428571429	0.9334337506975448	156	617.5	-0.004839999999999997
TAF2	18.0	0.011802	1011.5	0.009207	993.5	0.002595	0.9563616071428571	0.9758928571428571	0.9333064612563775	157	993.5	-0.002595
BRD4	3151.166667	0.071688	1846.5	0.06955	1304.666667	0.002138000000000001	0.9654017857142857	0.9665178571428571	0.9330780652104591	158	-1304.666667	-0.002138000000000001
LARP1	387.0	0.036354	1377.333333	0.033801	990.333333	0.0025529999999999997	0.95625	0.9753348214285714	0.9326639229910715	159	990.333333	-0.0025529999999999997
FAM50A	161.5	0.010735	1076.0	0.008135	914.5	0.0026	0.9542410714285714	0.9760044642857143	0.9313435457190689	160	914.5	-0.0026
EPHA7	2561.0	0.007312	43.0	0.008939	2518.0	0.0016270000000000008	0.9839285714285714	0.9465401785714286	0.9313279257015306	161	-2518.0	0.0016270000000000008
UBE2M	2690.833333	0.035026	7677.5	0.033567	4986.6666669999995	0.001459000000000002	0.9938616071428571	0.9361607142857142	0.930414192044005	162	4986.6666669999995	-0.001459000000000002
